run_path,mode,backend_profile,optimization_recipe,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,measured_training_seconds,wall_seconds,source_commit,source_dirty,source_diff_sha256,megatron_commit,torch,cuda,triton_ptxas_path,accelerator,compute_capability
probes/recipe-screen-sm103a-wave1/adamh,probe,compile,adamh,42,9363488,30,11796480,1.9692615806821605,1158612.2141688245,6.787706795963459,79.29453358997125,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/baseline,probe,compile,baseline,42,9363488,30,11796480,1.9210213263994482,1279190.6664289467,6.147887259023264,61.95676159893628,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/bf16-loss,probe,compile,bf16-loss,42,9363488,30,11796480,1.8946586150587228,1020017.6411477884,7.709984301007353,91.22201210900676,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/cached-attention,probe,compile,cached-attention,42,9363488,30,11796480,1.9212311974978298,1051963.3771935073,7.475849607028067,91.72529189300258,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/embed-std1,probe,compile,embed-std1,42,9363488,30,11796480,1.9236921155695137,1212336.0997534948,6.486913984990679,63.156380127999,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/grad-clip-01,probe,compile,grad-clip-01,42,9363488,30,11796480,1.892922120250807,1271391.0211216193,6.185602910001762,79.74890435603447,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/grad-clip-03,probe,compile,grad-clip-03,42,9363488,30,11796480,1.896800374830932,1270304.9435635607,6.190891438978724,79.638883215026,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/midpoint-kv,probe,compile,midpoint-kv,42,9363488,30,11796480,1.9214363397910459,998463.991042545,7.8764182489831,91.5390855850419,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/muoneqh-half,probe,compile,muoneqh-half,42,9363488,30,11796480,1.9511970523792084,1275877.2582636743,6.163853105041198,79.39571262197569,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/muoneqh-quarter,probe,compile,muoneqh-quarter,42,9363488,30,11796480,1.950835784387817,1309126.633382589,6.007302731042728,80.5253896440845,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
