backend,variant,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,wall_seconds,source_commit,megatron_commit
speedrun,kda,42,9372437,286,112459776,1.454332683702981,602069.0,180.25749015808105,,
speedrun,kda,43,9372437,286,112459776,1.4723408655735124,605266.0,179.3055157661438,,
speedrun,kda,44,9372437,286,112459776,1.4599979509948844,614538.0,176.6000680923462,,
speedrun,kimi-k3-kda-update,42,9385429,286,112459776,1.4511551248153767,619741.0,175.117493391037,,
speedrun,kimi-k3-kda-update,43,9385429,286,112459776,1.4679850897966502,630780.0,172.05279350280762,,
speedrun,kimi-k3-kda-update,44,9385429,286,112459776,1.465641674989286,637722.0,170.1800754070282,,
speedrun,mhc,42,9417518,287,112852992,1.5420388575623754,882394.0,123.43780755996704,,
speedrun,mhc,43,9417518,287,112852992,1.55335466830976,846714.0,128.63941597938538,,
speedrun,mhc,44,9417518,287,112852992,1.5244542572175401,884896.0,123.0887942314148,,
speedrun,partial-rope-25,42,9363488,286,112459776,1.5737138593874942,1441527.0,75.2865378856659,,
speedrun,partial-rope-25,43,9363488,286,112459776,1.5836685676984852,1358831.0,79.86833548545837,,
speedrun,partial-rope-25,44,9363488,286,112459776,1.5814767309123912,1321545.0,82.12176179885864,,
speedrun,qwen-gdn,42,9423916,288,113246208,1.4738481214598627,609090.0,179.47100281715393,,
speedrun,qwen-gdn,43,9423916,288,113246208,1.4850588505115203,657437.0,166.2728168964386,,
speedrun,qwen-gdn,44,9423916,288,113246208,1.490401123328652,669833.0,163.1957652568817,,
speedrun,situ-glu,42,9363208,286,112459776,1.5523236897847212,1452486.0,74.71852350234985,,
speedrun,situ-glu,43,9363208,286,112459776,1.5648817273628615,1425161.0,76.1510877609253,,
speedrun,situ-glu,44,9363208,286,112459776,1.5619767919306904,1280277.0,84.76879525184631,,
speedrun,xielu,42,9363498,286,112459776,1.5537078853961346,1351232.0,80.31750226020813,,
speedrun,xielu,43,9363498,286,112459776,1.5590811557636282,1352198.0,80.26012587547302,,
speedrun,xielu,44,9363498,286,112459776,1.5596367868538663,1306210.0,83.08582949638367,,
